timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,Hostname,IdleTime,Connect
2020/10/31 20:48:00.916,223,http://www.testingyes.com/demo/index.php?main_page=login-7,304,Not Modified,Thread Group 1-1,,true,,225,533,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/responsive_default.css,0,DESKTOP-B8OPFP2,0,109
2020/10/31 20:48:00.946,479,http://www.testingyes.com/demo/index.php?main_page=login-8,304,Not Modified,Thread Group 1-1,,true,,319,499,1,1,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,0,DESKTOP-B8OPFP2,0,348
2020/10/31 20:48:00.946,745,http://www.testingyes.com/demo/index.php?main_page=login-9,200,OK,Thread Group 1-1,bin,true,,119017,435,1,1,http://www.testingyes.com/demo/images/shirt.jpg,220,DESKTOP-B8OPFP2,0,107
2020/10/31 20:48:00.956,216,http://www.testingyes.com/demo/index.php?main_page=login-10,200,OK,Thread Group 1-1,bin,true,,9228,436,1,1,http://www.testingyes.com/demo/images/tomate.jpg,216,DESKTOP-B8OPFP2,0,102
2020/10/31 20:48:00.964,211,http://www.testingyes.com/demo/index.php?main_page=login-11,200,OK,Thread Group 1-1,bin,true,,5388,435,1,1,http://www.testingyes.com/demo/images/dress.jpg,211,DESKTOP-B8OPFP2,0,104
2020/10/31 20:47:43.596,2026,click_login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,197662,5973,1,1,null,526,DESKTOP-B8OPFP2,16069,182
2020/10/31 20:48:13.103,1714,http://www.testingyes.com/demo/index.php?main_page=login&action=process,200,OK,Thread Group 1-1,text,true,,233893,7286,1,1,http://www.testingyes.com/demo/index.php?main_page=time_out,307,DESKTOP-B8OPFP2,0,113
2020/10/31 20:48:13.103,307,http://www.testingyes.com/demo/index.php?main_page=login&action=process-0,302,Moved Temporarily,Thread Group 1-1,text,true,,444,702,1,1,http://www.testingyes.com/demo/index.php,307,DESKTOP-B8OPFP2,0,113
2020/10/31 20:48:13.410,357,http://www.testingyes.com/demo/index.php?main_page=login&action=process-1,200,OK,Thread Group 1-1,text,true,,18269,531,1,1,http://www.testingyes.com/demo/index.php?main_page=time_out,220,DESKTOP-B8OPFP2,0,0
2020/10/31 20:48:13.771,349,http://www.testingyes.com/demo/index.php?main_page=login&action=process-2,200,OK,Thread Group 1-1,text,true,,27172,559,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet.css,237,DESKTOP-B8OPFP2,0,123
2020/10/31 20:48:13.771,222,http://www.testingyes.com/demo/index.php?main_page=login&action=process-3,200,OK,Thread Group 1-1,text,true,,7620,566,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet_colors.css,222,DESKTOP-B8OPFP2,0,112
2020/10/31 20:48:13.771,232,http://www.testingyes.com/demo/index.php?main_page=login&action=process-4,200,OK,Thread Group 1-1,text,true,,2860,571,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet_css_buttons.css,232,DESKTOP-B8OPFP2,0,117
2020/10/31 20:48:13.771,116,http://www.testingyes.com/demo/index.php?main_page=login&action=process-5,200,OK,Thread Group 1-1,text,true,,1108,565,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/print_stylesheet.css,115,DESKTOP-B8OPFP2,0,0
2020/10/31 20:48:13.772,220,http://www.testingyes.com/demo/index.php?main_page=login&action=process-6,200,OK,Thread Group 1-1,text,true,,3420,575,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/jscript/jscript_matchHeight-min.js,220,DESKTOP-B8OPFP2,0,110
2020/10/31 20:48:13.772,232,http://www.testingyes.com/demo/index.php?main_page=login&action=process-7,200,OK,Thread Group 1-1,text,true,,7210,559,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/responsive.css,232,DESKTOP-B8OPFP2,0,117
2020/10/31 20:48:13.912,339,http://www.testingyes.com/demo/index.php?main_page=login&action=process-8,200,OK,Thread Group 1-1,text,true,,25079,567,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/responsive_default.css,229,DESKTOP-B8OPFP2,0,115
2020/10/31 20:48:13.995,500,http://www.testingyes.com/demo/index.php?main_page=login&action=process-9,304,Not Modified,Thread Group 1-1,,true,,319,533,1,1,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,0,DESKTOP-B8OPFP2,0,381
2020/10/31 20:48:13.995,210,http://www.testingyes.com/demo/index.php?main_page=login&action=process-10,200,OK,Thread Group 1-1,bin,true,,9228,520,1,1,http://www.testingyes.com/demo/images/tomate.jpg,210,DESKTOP-B8OPFP2,0,108
2020/10/31 20:48:14.004,201,http://www.testingyes.com/demo/index.php?main_page=login&action=process-11,200,OK,Thread Group 1-1,bin,true,,12147,519,1,1,http://www.testingyes.com/demo/images/bread.jpg,201,DESKTOP-B8OPFP2,0,100
2020/10/31 20:48:14.005,812,http://www.testingyes.com/demo/index.php?main_page=login&action=process-12,200,OK,Thread Group 1-1,bin,true,,119017,519,1,1,http://www.testingyes.com/demo/images/shirt.jpg,233,DESKTOP-B8OPFP2,0,117
2020/10/31 20:48:01.692,1714,login Test196@testingyes.com,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,233893,7286,1,1,null,307,DESKTOP-B8OPFP2,11412,113
2020/10/31 20:48:37.357,1206,http://www.testingyes.com/demo/index.php?main_page=logoff,200,OK,Thread Group 1-1,text,true,,68017,5924,1,1,http://www.testingyes.com/demo/index.php?main_page=logoff,357,DESKTOP-B8OPFP2,0,108
2020/10/31 20:48:37.357,461,http://www.testingyes.com/demo/index.php?main_page=logoff-0,200,OK,Thread Group 1-1,text,true,,16876,445,1,1,http://www.testingyes.com/demo/index.php?main_page=logoff,357,DESKTOP-B8OPFP2,0,108
2020/10/31 20:48:37.819,229,http://www.testingyes.com/demo/index.php?main_page=logoff-1,304,Not Modified,Thread Group 1-1,,true,,225,525,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet.css,0,DESKTOP-B8OPFP2,0,114
2020/10/31 20:48:37.819,216,http://www.testingyes.com/demo/index.php?main_page=logoff-2,304,Not Modified,Thread Group 1-1,,true,,225,532,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet_colors.css,0,DESKTOP-B8OPFP2,0,106
2020/10/31 20:48:37.819,227,http://www.testingyes.com/demo/index.php?main_page=logoff-3,304,Not Modified,Thread Group 1-1,,true,,225,537,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/stylesheet_css_buttons.css,0,DESKTOP-B8OPFP2,0,107
2020/10/31 20:48:37.819,218,http://www.testingyes.com/demo/index.php?main_page=logoff-4,304,Not Modified,Thread Group 1-1,,true,,225,531,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/print_stylesheet.css,0,DESKTOP-B8OPFP2,0,106
2020/10/31 20:48:37.819,235,http://www.testingyes.com/demo/index.php?main_page=logoff-5,304,Not Modified,Thread Group 1-1,,true,,224,541,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/jscript/jscript_matchHeight-min.js,0,DESKTOP-B8OPFP2,0,118
2020/10/31 20:48:37.819,105,http://www.testingyes.com/demo/index.php?main_page=logoff-6,304,Not Modified,Thread Group 1-1,,true,,216,525,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/responsive.css,0,DESKTOP-B8OPFP2,0,0
2020/10/31 20:48:37.925,222,http://www.testingyes.com/demo/index.php?main_page=logoff-7,304,Not Modified,Thread Group 1-1,,true,,225,533,1,1,http://www.testingyes.com/demo/includes/templates/responsive_classic/css/responsive_default.css,0,DESKTOP-B8OPFP2,0,113
2020/10/31 20:48:38.036,527,http://www.testingyes.com/demo/index.php?main_page=logoff-8,304,Not Modified,Thread Group 1-1,,true,,319,449,1,1,https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css,0,DESKTOP-B8OPFP2,0,364
2020/10/31 20:48:38.037,321,http://www.testingyes.com/demo/index.php?main_page=logoff-9,200,OK,Thread Group 1-1,bin,true,,27882,435,1,1,http://www.testingyes.com/demo/images/apple.jpg,220,DESKTOP-B8OPFP2,0,108
2020/10/31 20:48:38.046,232,http://www.testingyes.com/demo/index.php?main_page=logoff-10,200,OK,Thread Group 1-1,bin,true,,12147,435,1,1,http://www.testingyes.com/demo/images/bread.jpg,231,DESKTOP-B8OPFP2,0,113
2020/10/31 20:48:38.048,348,http://www.testingyes.com/demo/index.php?main_page=logoff-11,200,OK,Thread Group 1-1,bin,true,,9228,436,1,1,http://www.testingyes.com/demo/images/tomate.jpg,346,DESKTOP-B8OPFP2,0,174
2020/10/31 20:48:14.853,1206,click_logout Test196@testingyes.com,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,68017,5924,1,1,null,357,DESKTOP-B8OPFP2,22505,108
